id,filename,sourceFile,publicUrl,fileType,currentPageUsage,proposedDepartment,visualSystem,mediaRole,status,leakRisk
71,qwen-image-2512-fal.png,src/content/blog/invisible-variable.md,https://cdn.hob.farm/blog/invisible-variable/qwen-image-2512-fal.png,image,article,workshop-notes,,literal-url,referenced,false
66,subject-style-composition-reference-grid.png,src/content/blog/invisible-variable.md,https://cdn.hob.farm/blog/invisible-variable/subject-style-composition-reference-grid.png,image,article,workshop-notes,,literal-url,referenced,false
65,invisible-variable-pipeline.png,src/content/blog/invisible-variable.md,https://cdn.hob.farm/pages/blog/invisible-variable-pipeline.png,image,article,workshop-notes,,literal-url,referenced,false
77,mad-trump-hero.png,src/content/blog/mad-trump-and-the-magazine-time-machine.md,https://cdn.hob.farm/articles/mad-trump/mad-trump-hero.png,image,article,magazine-time-machine,,literal-url,referenced,false
78,mad-trump-trump.png,src/content/blog/mad-trump-and-the-magazine-time-machine.md,https://cdn.hob.farm/articles/mad-trump/mad-trump-trump.png,image,article,magazine-time-machine,,literal-url,referenced,false
79,psychedelic-goth.png,src/content/blog/psychedelic-goth-defined.md,https://cdn.hob.farm/blog/psychedelic-goth/psychedelic-goth.png,image,article,workshop-notes,,literal-url,referenced,false
82,chatgpt-comparison.png,src/content/blog/same-model-different-surface.md,https://cdn.hob.farm/blog/web-vs-api/chatgpt-comparison.png,image,article,workshop-notes,,literal-url,referenced,false
81,gemini-comparison.png,src/content/blog/same-model-different-surface.md,https://cdn.hob.farm/blog/web-vs-api/gemini-comparison.png,image,article,workshop-notes,,literal-url,referenced,false
83,grok-comparison.png,src/content/blog/same-model-different-surface.md,https://cdn.hob.farm/blog/web-vs-api/grok-comparison.png,image,article,workshop-notes,,literal-url,referenced,false
86,grok-comparison2.png,src/content/blog/same-model-different-surface.md,https://cdn.hob.farm/blog/web-vs-api/grok-comparison2.png,image,article,workshop-notes,,literal-url,referenced,false
87,grok-comparison3.png,src/content/blog/same-model-different-surface.md,https://cdn.hob.farm/blog/web-vs-api/grok-comparison3.png,image,article,workshop-notes,,literal-url,referenced,false
85,grok-video.mp4,src/content/blog/same-model-different-surface.md,https://cdn.hob.farm/blog/web-vs-api/grok-video.mp4,video,article,workshop-notes,,literal-url,referenced,false
88,grok-web-2.jpg,src/content/blog/same-model-different-surface.md,https://cdn.hob.farm/blog/web-vs-api/grok-web-2.jpg,image,article,workshop-notes,,literal-url,referenced,false
84,grok-web.jpg,src/content/blog/same-model-different-surface.md,https://cdn.hob.farm/blog/web-vs-api/grok-web.jpg,image,article,workshop-notes,,literal-url,referenced,false
80,same-model-different-surface-hero.jpg,src/content/blog/same-model-different-surface.md,https://cdn.hob.farm/blog/web-vs-api/same-model-different-surface-hero.jpg,image,article,workshop-notes,,literal-url,referenced,false
89,vampire-pinup.mp4,src/content/blog/same-model-different-surface.md,https://cdn.hob.farm/blog/web-vs-api/vampire-pinup.mp4,video,article,workshop-notes,,literal-url,referenced,false
90,ir_extraction.png,src/content/blog/stylefusion-ir-extraction.md,https://cdn.hob.farm/pages/blog/ir_extraction.png,image,article,workshop-notes,,literal-url,referenced,false
91,anime_gothic_hero.png,src/content/blog/the-anime-to-gothic-pipeline.md,https://cdn.hob.farm/pages/blog/anime_gothic_hero.png,image,article,workshop-notes,,literal-url,referenced,false
92,chiaroscuro_hero.png,src/content/blog/the-unlit-corner-chiaroscuro-truth-shadows.md,https://cdn.hob.farm/pages/blog/chiaroscuro_hero.png,image,article,workshop-notes,,literal-url,referenced,false
93,you-own-nothing.png,src/content/blog/you-do-not-own-the-ai-you-pay-for.md,https://cdn.hob.farm/blog/article-hero/you-own-nothing.png,image,article,essays-arguments,,literal-url,referenced,false
94,buffcock-accident.png,src/content/comics/buffcock-accident.md,https://cdn.hob.farm/funnies/buffcock/buffcock-accident.png,image,comic,funnies,,literal-url,referenced,false
95,buffcock-fishing.png,src/content/comics/buffcock-fishing.md,https://cdn.hob.farm/funnies/buffcock/buffcock-fishing.png,image,comic,funnies,,literal-url,referenced,false
96,buffcock-gym.png,src/content/comics/buffcock-gym.md,https://cdn.hob.farm/funnies/buffcock/buffcock-gym.png,image,comic,funnies,,literal-url,referenced,false
97,buffcock-show.png,src/content/comics/buffcock-show.md,https://cdn.hob.farm/funnies/buffcock/buffcock-show.png,image,comic,funnies,,literal-url,referenced,false
98,gary-bar.png,src/content/comics/gary-bar.md,https://cdn.hob.farm/funnies/gary/gary-bar.png,image,comic,funnies,,literal-url,referenced,false
99,gary-bowling.png,src/content/comics/gary-bowling.md,https://cdn.hob.farm/funnies/gary/gary-bowling.png,image,comic,funnies,,literal-url,referenced,false
100,gary-buffet.png,src/content/comics/gary-buffet.md,https://cdn.hob.farm/funnies/gary/gary-buffet.png,image,comic,funnies,,literal-url,referenced,false
101,gary-fat-cat-design.png,src/content/comics/gary-fat-cat-design.md,https://cdn.hob.farm/funnies/gary/gary-fat-cat-design.png,image,comic,funnies,,literal-url,referenced,false
102,gary-hero.png,src/content/comics/gary-fork-standoff.md,https://cdn.hob.farm/blog/gary-fork/gary-hero.png,image,comic,funnies,,literal-url,referenced,false
103,gary-vegas.png,src/content/comics/gary-vegas.md,https://cdn.hob.farm/funnies/gary/gary-vegas.png,image,comic,funnies,,literal-url,referenced,false
104,gary-web-dev-ai.png,src/content/comics/gary-web-dev-ai.md,https://cdn.hob.farm/funnies/gary/gary-web-dev-ai.png,image,comic,funnies,,literal-url,referenced,false
105,larry-gothcat-hulmut-heidi-dinner.jpg,src/content/comics/larry-gothcat-hulmut-heidi-dinner.md,https://cdn.hob.farm/funnies/larry/larry-gothcat-hulmut-heidi-dinner.jpg,image,comic,funnies,,literal-url,referenced,false
106,larry-helmut-bauhaus.jpg,src/content/comics/larry-helmut-bauhaus.md,https://cdn.hob.farm/funnies/larry/larry-helmut-bauhaus.jpg,image,comic,funnies,,literal-url,referenced,false
